,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
16,0.8308322499999999,1.0285176108075595,10.600112118039412,1.514452557722782,0.6976797821629366,3.218844529682461,255.0,255.0,255.0
17,1.69489779,1.4690169810156153,66.39655275584947,2.20420014247457,1.219647344356074,5.488433493154614,255.0,255.0,255.0
18,48.08857063,7.824849505000457,-24.720695745208086,12.860983461240737,5.707029944326021,36.647857100494605,255.0,255.0,255.0
19,2.3927968799999997,1.745452265212348,-84.61767229673508,3.324571840609896,1.094249527942099,7.355666890416459,255.0,255.0,255.0
20,6.11492536,2.7902983319809906,-5.651864627966904,5.129615615760259,2.4867118180866896,13.416911707777228,255.0,255.0,255.0
21,2.09369727,1.6327210903482727,-1.8809333582849315,2.2046169539476685,1.2311103908972254,5.237100191785537,255.0,255.0,255.0
22,0.13293316,0.41140704432302383,90.00003218077504,0.8152703845964233,0.0,0.3646,255.0,255.0,255.0
23,0.43203276999999995,0.7416745966968743,90.00003218077504,0.9216906667679241,0.5720315429710552,1.9740222648412302,255.0,255.0,255.0
24,1.46226476,1.3644828021285837,-26.699568830659544,1.9932976114341163,0.9405279014071976,4.507900191785537,255.0,255.0,255.0
25,3.62242861,2.1476078213286587,75.59736791149405,3.2656018569201306,1.4162836590791057,7.468933589047381,255.0,255.0,255.0
26,31.63809208,6.346878757013431,69.8072029322689,7.649550129455505,6.051218780370418,28.078645680395677,255.0,255.0,255.0
27,0.76436567,0.9865194360386355,-83.69390693894238,1.7692467332196742,0.5341525506003618,3.212366698630923,255.0,255.0,255.0
28,0.03323329,0.20570352216151191,45.00001609038752,0.0,0.0,0.0,255.0,255.0,255.0
29,20.00644058,5.047077500479885,16.62697412672768,6.535545572172348,4.22791929243329,18.73488944293599,255.0,255.0,255.0
30,13.160382839999999,4.093448406385751,54.15961631920654,7.1024247550406345,2.495280760840766,18.528900958927686,255.0,255.0,255.0
31,0.23263303,0.5442403634494243,-59.03626457717169,0.7292,0.40345420800777837,1.3958445296824606,255.0,255.0,255.0
32,1.6616644999999999,1.4545435543436236,-9.738565789233203,1.677939792056303,1.3397211411670897,4.690200191785537,255.0,255.0,255.0
33,0.16616645,0.4599670587642752,45.00001609038752,0.4611865739589564,0.4611865739589564,1.0312445296824608,255.0,255.0,255.0
34,0.26586632,0.5818174217374494,-45.00001609038752,0.6315057244396126,0.4992491111659589,1.351611132420615,255.0,255.0,255.0
35,0.46526606,0.7696721031810383,-31.296223471494873,1.24495807869169,0.47932866941244356,1.829477831051538,255.0,255.0,255.0
36,15.91874591,4.502041403097392,14.746317003094996,7.2819653240356175,2.8213450354890894,17.276489442935993,255.0,255.0,255.0
37,0.09969987,0.35628895167960917,90.00003218077504,0.5953893068124978,0.0,0.1823,255.0,255.0,255.0
38,0.43203276999999995,0.7416745966968743,11.309936518046797,1.0112184577185925,0.5350865120563361,1.8607555662103077,255.0,255.0,255.0
39,0.03323329,0.20570352216151191,45.00001609038752,0.0,0.0,0.0,255.0,255.0,255.0
40,2.6586632,1.8398682350571007,-16.908750115971387,2.6417088454912654,1.3638244391519774,6.588711324206152,255.0,255.0,255.0
41,2.7915963599999998,1.8853039220483092,-39.58953511806112,2.241589240759343,1.6663993224553806,6.550955757995843,255.0,255.0,255.0
42,47.191271799999996,7.751502655750388,33.748585156087515,9.198297392668271,6.8064248483985645,28.67514548861014,255.0,255.0,255.0
43,0.26586632,0.5818174217374494,0.0,0.8930839602187466,0.35302243200680605,1.5339111324206154,255.0,255.0,255.0
44,0.9637654099999999,1.1077473682477867,1.075327841283813,1.3997014478504721,0.8830607996545203,3.369866794523691,255.0,255.0,255.0
45,15.65287959,4.464287768834567,-8.271383986154673,5.7861216386353425,3.602052475914876,16.59152284019784,255.0,255.0,255.0
46,0.19939974,0.5038686675889956,18.43495541459913,0.7291999999999998,0.2976946534062489,1.1693111324206151,255.0,255.0,255.0
47,0.03323329,0.20570352216151191,45.00001609038752,0.0,0.0,0.0,255.0,255.0,255.0
48,0.6646658,0.9199341175285504,-0.29381431317741263,1.2396509981536876,0.7069663457170826,2.634188963472153,255.0,255.0,255.0
49,0.03323329,0.20570352216151191,45.00001609038752,0.0,0.0,0.0,255.0,255.0,255.0
50,0.03323329,0.20570352216151191,45.00001609038752,0.0,0.0,0.0,255.0,255.0,255.0
51,0.36556619,0.6822414010642919,-74.92933401599767,0.7922994961090662,0.5591790579756566,1.7162111324206153,255.0,255.0,255.0
